"book_id","title","language_id","mrp","published_id","published_date date","volume","status"
"1","java","1","2330","1","2022-06-06","1","avail"
"2","C","2","2330","2","2022-06-06","2","avail"
"3","C++","3","2330","3","2022-06-06","3","avail"
"4","java","4","2330","4","2022-06-06","4","avail"
"5","java","5","2330","5","2022-06-06","5","avail"
"6","java","6","2330","6","2022-06-06","6","avail"
"7","java","7","2330","7","2022-06-06","7","avail"
"8","C","8","2330","8","2022-06-06","8","avail"
"9","C","9","2330","9","2022-06-06","9","avail"
"10","C","10","2330","10","2022-06-06","10","avail"
"11","C","11","2330","11","2022-06-06","11","avail"
"12","PYTHON","12","2330","12","2022-06-06","12","avail"
"13","PYTHON","13","2330","13","2022-06-06","13","avail"
"14","PYTHON","14","2330","14","2022-06-06","14","avail"
"15","PYTHON","15","2330","15","2022-06-06","15","avail"
"16","PYTHON","16","2330","16","2022-06-06","16","avail"
"17","PYTHON","17","2330","17","2022-06-06","17","avail"
"18","C++","18","2330","18","2022-06-06","18","avail"
"19","C++","19","2330","19","2022-06-06","19","avail"
"20","C++","20","2330","20","2022-06-06","20","avail"
"21","C++","21","2330","21","2022-06-06","21","avail"
"22","OS","22","2330","22","2022-06-06","22","avail"
"23","OS","23","2330","23","2022-06-06","23","avail"
"24","OS","24","2330","24","2022-06-06","24","avail"
"25","OS","25","2330","25","2022-06-06","25","avail"
